"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"././help/TOC.md","","","","","",""
"./help/media-overview.md","Measuring Streaming Media in Adobe Analytics","Adobe Analytics for Media (also referred to as Media Analytics) provides clients with robust media measurement for content, audio and advertisements.","","","",""
"./help/measurement-options/supported-devices.md","Supported devices and platforms","Adobe Analytics for Streaming Media ensures that each media stream is collected and reported across all devices.","","","",""
"./help/intro-to-ava/prereqs.md","Prerequisites","Prerequisites","","","",""
"./help/intro-to-ava/implementation-paths/implementation-paths.md","What Streaming Media Implementation Paths are Available?","Learn about Adobe Streaming Media implementation paths including Adobe Launch.","","","",""
"./help/intro-to-ava/implementation-paths/client-side-path.md","What are Media Analytics and client-side integrations?","Learn how Media Analytics works with client-side integrations and the Media SDK and/or the Media Collection API.","","","",""
"./help/measurement-options/mm-milestone-tracking/milestone-overview.md","Milestone overview","Milestone overview","","","",""
"./help/measurement-options/mm-milestone-tracking/migrate-ms-to-va.md","Migrating from Milestone to Media Analytics","Migrating from Milestone to Media Analytics","","","",""
"./help/measurement-options/mm-milestone-tracking/migrate-ms-to-cl.md","Migrating from Milestone to Custom Link","Migrating from Milestone to Custom Link","","","",""
"./help/measurement-options/cl-in-aa/cl-impl-guide.md","Custom Link implementation guide","","","","",""
"./help/intro-to-ava/implementation-paths/primetime-path.md","What is Adobe Primetime?","Learn about the Adobe Primetime solution and how it helps to monetize streaming media.","","","",""
"./help/intro-to-ava/am-enablement.md","What is Adobe Audience Manager enablement?","Learn how to link application actions to media tracking data without the need for additional processing rules and custom variables.","","","",""
"./help/sdk-implement/end-of-support-faqs.md","Media Analytics SDK End of Support FAQs","This topic includes FAQs about the end of support for Media Analytics SDKs.","","","",""
"./help/sdk-implement/download-sdks.md","Download SDKs","Links to SDK downloads for available platforms, including Android, iOS, JavaScript, Chromecast, and Roku.","","","",""
"./help/sdk-implement/setup/setup-overview.md","Setup Overview","Overview of setting up the Media SDK for media tracking in your mobile, OTT, and browser (JS) applications.","","","",""
"./help/sdk-implement/setup/set-up-android.md","Set up Android","Media SDK application setup for implementation on Android.","","","",""
"./help/sdk-implement/setup/set-up-ios.md","Set up iOS","Media SDK application setup for implementation on iOS.","","","",""
"./help/sdk-implement/setup/setup-javascript/set-up-js-2.md","Set up JavaScript 2.x","Media SDK application setup for implementation on JavaScript 2.x.","","","",""
"./help/sdk-implement/setup/setup-javascript/set-up-js-3.md","Set up JavaScript 3.x","Media SDK application setup for implementation on JavaScript 3.x.","","","",""
"./help/sdk-implement/setup/set-up-chromecast.md","Set up Chromecast","Media SDK application setup for implementation on Chromecast.","","","",""
"./help/sdk-implement/setup/set-up-roku.md","Set Up Roku","Media SDK application setup for implementation on Roku.","","","",""
"./help/sdk-implement/track-av-playback/track-core-overview.md","Tracking Overview","This topic describes tracking core playback, including tracking media load, media start, media pause, and media complete. ","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-android.md","Track core playback on Android","This topic describes how to implement core tracking using the Media SDK on Android.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-ios.md","Track core playback on iOS","This topic describes how to implement core tracking using the Media SDK on iOS.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-javascript/track-core-js.md","Track core playback using JavaScript 2.x","This topic describes how to implement core tracking using the Media SDK in a browser using JavaScript 2.x apps.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-javascript/track-core-js3.md","Track core playback using JavaScript v3.x","This topic describes how to implement core tracking using the Media SDK in a browser using JavaScript 3.x apps.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-chromecast.md","Track core playback on Chromecast","This topic describes how to implement core tracking using the Media SDK on Chromecast.","","","",""
"./help/sdk-implement/track-av-playback/track-core/track-core-roku.md","Track core playback on Roku","This topic describes how to implement core tracking using the Media SDK on Roku.","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-android.md","Track buffering on Android","Describes tracking buffering events on Android.","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-ios.md","Track buffering on iOS","Describes tracking buffering events on iOS.","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-js/track-buffering-js.md","Track buffering using JavaScript 2.x","Describes tracking buffering events in browser apps (JS).","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-js/track-buffering-js3.md","Track buffering using JavaScript 3.x","Describes tracking buffering events in browser apps (JS).","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-chromecast.md","Track buffering on Chromecast","Describes tracking buffering events on Chromecast.","","","",""
"./help/sdk-implement/track-av-playback/track-buffering/track-buffering-roku.md","Track buffering on Roku","Describes tracking buffering events on Roku.","","","",""
"./help/sdk-implement/track-av-playback/track-seeking/track-seeking-android.md","Track seeking on Android","This topic describes implementing seek tracking using the Media SDK on Android.","","","",""
"./help/sdk-implement/track-av-playback/track-seeking/track-seeking-ios.md","Track seeking on iOS","This topic describes implementing seek tracking using the Media SDK on iOS.","","","",""
"./help/sdk-implement/track-av-playback/track-seeking/track-seeking-js/track-seeking-js.md","Track seeking using JavaScript 2.x","This topic describes implementing seek tracking using the Media SDK in browser apps (JS).","","","",""
"./help/sdk-implement/track-av-playback/track-seeking/track-seeking-js/track-seeking-js3.md","Track seeking using JavaScript 3.x","This topic describes implementing seek tracking using the Media SDK in browser apps (JS).","","","",""
"./help/sdk-implement/track-av-playback/track-seeking/track-seeking-chromecast.md","Track seeking on Chromecast","This topic describes implementing seek tracking using the Media SDK on Chromecast.","","","",""
"./help/sdk-implement/track-av-playback/track-seeking/track-seeking-roku.md","Track seeking on Roku","This topic describes implementing seek tracking using the Media SDK on Roku.","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/impl-std-metadata-android.md","Implement standard metadata on Android","Describes setting standard video and ad metadata to be sent with tracking calls on Android.","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/impl-std-metadata-ios.md","Implement standard metadata on iOS","Describes setting standard video and ad metadata to be sent with tracking calls on iOS.","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/ios-metadata-keys.md","iOS metadata keys","This topic describes the available iOS metadata keys.","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/impl-std-md-js/impl-std-metadata-js.md","Implement standard metadata using JavaScript 2.x","Describes setting standard video and ad metadata to be sent with tracking calls in browser apps (JS).","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/impl-std-md-js/impl-std-metadata-js3.md","Implement standard metadata using JavaScript 3.x","Describes setting standard video and ad metadata to be sent with tracking calls in browser apps (JS).","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/impl-std-metadata-chromecast.md","Implement standard metadata on Chromecast","Describes setting standard video and ad metadata on Chromecast.","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/chromecast-metadata.md","Chromecast metadata keys","Describes setting standard video and ad metadata to be sent with tracking calls on Chromecast.","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/impl-std-metadata-roku.md","Implement standard metadata on Roku","Describes setting standard video and ad metadata to be sent with tracking calls on Roku.","","","",""
"./help/sdk-implement/track-av-playback/impl-std-metadata/roku-metadata.md","Roku metadata keys","This topic describes the available Roku metadata keys.","","","",""
"./help/sdk-implement/track-ads/track-ads-overview.md","Overview","Overview of implementing ad tracking with the Media SDK.","","","",""
"./help/sdk-implement/track-ads/track-ads-android.md","Track ads on Android","Implement ad tracking in Android applications using the Media SDK.","","","",""
"./help/sdk-implement/track-ads/track-ads-ios.md","Track ads on iOS","Implement ad tracking in iOS applications using the Media SDK.","","","",""
"./help/sdk-implement/track-ads/track-ads-js/track-ads-js.md","Track ads using JavaScript 2.x","Implement ad tracking in browser (JS) applications using the Media SDK.","","","",""
"./help/sdk-implement/track-ads/track-ads-js/track-ads-js3.md","Track ads using JavaScript 3.x","Implement ad tracking in browser (JS) applications using the Media SDK.","","","",""
"./help/sdk-implement/track-ads/track-ads-chromecast.md","Track ads on Chromecast","Implement ad tracking in Chromecast applications using the Media SDK.","","","",""
"./help/sdk-implement/track-ads/track-ads-roku.md","Track ads on Roku","Implement ad tracking in Roku applications using the Media SDK.","","","",""
"./help/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-android.md","Implement standard ad metadata on Android","How to use standard ad metadata in ad tracking on Android.","","","",""
"./help/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-ios.md","Implement standard ad metadata on iOS","How to use standard ad metadata in ad tracking on iOS.","","","",""
"./help/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-md-js/impl-std-ad-metadata-js.md","Implement standard ad metadata using JavaScript 2.x","How to use standard ad metadata in ad tracking in a browser using JavaScript 2.x apps.","","","",""
"./help/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-md-js/impl-std-ad-metadata-js3.md","Implement standard ad metadata using JavaScript 3.x","How to use standard ad metadata in ad tracking in a browser using JavaScript 3.x apps.","","","",""
"./help/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-roku.md","Implement standard ad metadata on Roku","How to use standard ad metadata in ad tracking on Roku.","","","",""
"./help/sdk-implement/track-chapters/track-chapters-overview.md","Overview","How to implement chapter and segment tracking with the Media SDK.","","","",""
"./help/sdk-implement/track-chapters/track-chapters-android.md","Track chapters and segments on Android","This topic describes implementing chapter and segment tracking using the Media SDK on Android.","","","",""
"./help/sdk-implement/track-chapters/track-chapters-ios.md","Track chapters and segments on iOS","This topic describes implementing chapter and segment tracking using the Media SDK on iOS.","","","",""
"./help/sdk-implement/track-chapters/track-chapters-js/track-chapters-js.md","Track chapters and segments using JavaScript 2.x","This topic describes implementing chapter and segment tracking using the Media SDK in browser apps (JS).","","","",""
"./help/sdk-implement/track-chapters/track-chapters-js/track-chapters-js3.md","Track chapters and segments using JavaScript 3.x","This topic describes implementing chapter and segment tracking using the Media SDK in browser apps (JS).","","","",""
"./help/sdk-implement/track-chapters/track-chapters-chromecast.md","Track chapters and segments on Chromecast","This topic describes implementing chapter and segment tracking using the Media SDK on Chromecast.","","","",""
"./help/sdk-implement/track-chapters/track-chapters-roku.md","Track chapters and segments on Roku","This topic describes implementing chapter and segment tracking using the Media SDK on Roku.","","","",""
"./help/sdk-implement/track-qos/track-qos-overview.md","Overview","An overview of tracking quality of experience (QoE, QoS) using the Media SDK.","","","",""
"./help/sdk-implement/track-qos/track-qos-android.md","Track quality of experience on Android","This topic describes implementing quality of experience (QoE, QoS) tracking using the Media SDK on Android.","","","",""
"./help/sdk-implement/track-qos/track-qos-ios.md","Track quality of experience on iOS","This topic describes implementing quality of experience (QoE, QoS) tracking using the Media SDK on iOS.","","","",""
"./help/sdk-implement/track-qos/track-qos-js/track-qos-js.md","Track quality of experience using JavaScript 2.x","This topic describes implementing quality of experience (QoE, QoS) tracking using the Media SDK in browser apps using JavaScript 2.x.","","","",""
"./help/sdk-implement/track-qos/track-qos-js/track-qos-js3.md","Track quality of experience using JavaScript 3.x","This topic describes implementing quality of experience (QoE, QoS) tracking using the Media SDK in browser apps using JavaScript 3x.","","","",""
"./help/sdk-implement/track-qos/track-qos-chromecast.md","Track quality of experience on Chromecast","This topic describes implementing quality of experience (QoE, QoS) tracking using the Media SDK on Chromecast.","","","",""
"./help/sdk-implement/track-qos/track-qos-roku.md","Track quality of experience on Roku","This topic describes implementing quality of experience (QoE, QoS) tracking using the Media SDK on Roku.","","","",""
"./help/sdk-implement/track-errors/track-errors-overview.md","Overview","Error tracking using the Media SDK.","","","",""
"./help/sdk-implement/track-errors/track-errors-android.md","Track errors on Android","This topic describes implementing error tracking using the Media SDK on Android.","","","",""
"./help/sdk-implement/track-errors/track-errors-ios.md","Track errors on iOS","This topic describes implementing error tracking using the Media SDK on iOS.","","","",""
"./help/sdk-implement/track-errors/track-errors-js/track-errors-js.md","Track errors using JavaScript 2.x","This topic describes implementing error tracking using the Media SDK in browser apps (JS).","","","",""
"./help/sdk-implement/track-errors/track-errors-js/track-errors-js3.md","Track errors using JavaScript 3.x","This topic describes implementing error tracking using the Media SDK in browser apps (JS).","","","",""
"./help/sdk-implement/track-errors/track-errors-chromecast.md","Track errors on Chromecast","This topic describes implementing error tracking using the Media SDK on Chromecast.","","","",""
"./help/sdk-implement/track-errors/track-errors-roku.md","Track errors on Roku","This topic describes implementing error tracking using the Media SDK on Roku.","","","",""
"./help/sdk-implement/opt-out-privacy.md","Opt-out and privacy","How to handle opt-in, opt-out, and privacy.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-no-intrs-details.md","VOD playback with no ads","An example of tracking VOD playback that contains no ads.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-preroll-ads.md","VOD playback with pre-roll ads","An example of how to track VOD content that contains pre-roll ads using the Media SDK.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-skipped-ads.md","VOD playback with skipped ads","An example of how to track VOD content in which the user skipped ads using the Media SDK.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-one-chapter.md","VOD playback with one chapter","An example of tracking VOD playback that contains one chapter.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-skipped-chapter.md","VOD playback with a skipped chapter","An example of how to track VOD content in which the user skipped a chapter using the Media SDK.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-seeking.md","VOD playback with seeking in the main content","An example of how to track VOD content in which seeking occurred using the Media SDK.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-buffering.md","VOD playback with buffering","An example of how to track VOD content using the Media SDK.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-multi-trackers.md","VOD multiple trackers in parallel","An example of how to track VOD using multiple trackers in parallel.","","","",""
"./help/sdk-implement/tracking-scenarios/vod-multi-track-one-session.md","VOD one tracker for multiple sessions","An example of how to use one tracker to track multiple sessions using the Media SDK.","","","",""
"./help/sdk-implement/tracking-scenarios/live-main-content.md","Live main content","An example of how to track live content using the Media SDK.","","","",""
"./help/sdk-implement/tracking-scenarios/live-sequential.md","Live main content with sequential tracking","An example of how to track live content with sequential tracking using the Media SDK.","","","",""
"./help/sdk-implement/validation/validation-overview.md","Validation overview","This topic is an overview of the validation process.","","","",""
"./help/sdk-implement/validation/test1-standard-playback.md","Test 1  Standard playback","This topic describes the standard playback test used in validation.","","","",""
"./help/sdk-implement/validation/test2-media-interrupt.md","Test 2  Media interruption","This topic describes the media interruption test used in validation.","","","",""
"./help/sdk-implement/validation/test-call-details.md","Test call details","This topic details the calls you must make to validate your implementation.","","","",""
"./help/sdk-implement/validation/heartbeat-params.md","Heartbeat parameter descriptions","A list of the heartbeat parameters that Adobe collects and processes on the Media Analytics (heartbeats) server.","","","",""
"./help/sdk-implement/validation/debugging/sdk-debugging.md","SDK debugging","This topic describes the tracking/logging available in the Media SDK.","","","",""
"./help/sdk-implement/validation/debugging/config-adobe-debug.md","Configure Adobe Debug","This topic describes how to configure Adobe Debug, which you can use to troubleshoot Media SDK implementations.","","","",""
"./help/sdk-implement/validation/debugging/create-new-debug-report.md","Create a new Debug report","This topic describes how to create a new Debug report.","","","",""
"./help/sdk-implement/validation/debugging/debug-dash-repts.md","Debug dashboards and reports","This topic describes the Adobe debug dashboards.","","","",""
"./help/sdk-implement/analytics-with-ott/track-app-states.md","Track app states","App states are the different screens or views in your application, which when displayed should result in a trackState call. ","","","",""
"./help/sdk-implement/analytics-with-ott/track-app-actions.md","Track app actions","App actions are the events that occur in your app that you want to measure.","","","",""
"./help/sdk-implement/analytics-with-ott/set-user-ids.md","Set user IDs","APIs for setting user IDs, which server as a unique customer identifier.","","","",""
"./help/sdk-implement/analytics-with-ott/ott-am.md","OTT and Audience Manager","Details on integrating OTT apps with Audience Manager.","","","",""
"./help/sdk-implement/analytics-with-ott/ott-experience-cloud.md","OTT and Experience Cloud","Details on integrating OTT apps with Experience Cloud.","","","",""
"./help/sdk-implement/cookbook/sdk-cookbook-overview.md","SDK Cookbook Overview","SDK-specific cookbook topics","","","",""
"./help/sdk-implement/cookbook/app-interrupts.md","Handling application interrupts during playback","How to handle interruptions to tracking during playback of media.","","","",""
"./help/sdk-implement/cookbook/fix-ad-play-ad.md","Resolving main play appearing between ads","How to handle unexpected main:play calls between ads.","","","",""
"./help/sdk-implement/cookbook/resuming-inactive.md","Resuming inactive sessions","How to handle resuming an inactive session.","","","",""
"./help/sdk-implement/cookbook/sdk-track-scenegraph.md","Tracking in SceneGraph (Roku)","Tracking media with the Roku SceneGraph XML programming framework.","","","",""
"./help/sdk-implement/va-1x-to-2x/mig-1x-2x-overview.md","Migration overview","This topic provides an overview of migrating from 1.x to 2.x versions of the Media SDK.","","","",""
"./help/sdk-implement/va-1x-to-2x/code-comparison-1x-2x.md","Code comparison 1.x to 2.x","This topic compares code in the 1.x and 2.x versions of the Media SDK.","","","",""
"./help/sdk-implement/va-1x-to-2x/1x-2x-api-change.md","1.x to 2.x API conversion","This topic includes links to API references and lists required and optional tracking APIs for 1.x and 2.x version of the Media SDK.","","","",""
"./help/sdk-implement/sdk-to-launch/sdk-to-launch-migration.md","Migrating from the standalone Media SDK to Adobe Launch","Instructions and code samples to assist in migrating from the Media SDK to Launch.","","","",""
"./help/sdk-implement/sdk-to-launch/sdk-to-launch-migration-platforms/sdk-to-launch-migration-android.md","Migrating from the standalone Media SDK to Adobe Launch - Android","Instructions and code samples to assist in migrating from the Media SDK to Launch for Android.","","","",""
"./help/sdk-implement/sdk-to-launch/sdk-to-launch-migration-platforms/sdk-to-launch-migration-ios.md","Migrating from the standalone Media SDK to Adobe Launch - iOS","Instructions and code samples to assist in migrating from the Media SDK to Launch for iOS.","","","",""
"./help/sdk-implement/sdk-to-launch/sdk-to-launch-migration-platforms/sdk-to-launch-migration-js.md","Migrating from the standalone Media SDK to Adobe Launch - Web (JS)","Instructions and code samples to assist in migrating from the Media SDK to Launch.","","","",""
"./help/media-collection-api/mc-api-overview.md","Overview","","","","",""
"./help/media-collection-api/mc-api-ref/mc-api-sessions-req.md","Sessions request","Sessions request","","","",""
"./help/media-collection-api/mc-api-ref/mc-api-events-req.md","Events request","Events request","","","",""
"./help/media-collection-api/mc-api-ref/mc-api-req-params.md","Request parameters","Learn about Adobe Analytics streaming media request parameters.","","","",""
"./help/media-collection-api/mc-api-ref/mc-api-event-types.md","Event types and descriptions","Event types and descriptions","","","",""
"./help/media-collection-api/mc-api-ref/mc-api-json-validation.md","JSON validation schemas","","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-quick-start.md","Quick start","Quick start","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-set-http-req.md","Setting the HTTP request type in your player","Setting the HTTP request type in your player","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-obtain-sid.md","Obtaining a session ID","Obtaining a session ID","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-impl-events-req.md","Implementing an events request","Implementing an events request","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-validate-reqs.md","Validating event requests","Validating event requests","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-sed-pings.md","Sending ping events","Sending ping events","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-sending-qoe.md","Sending QoE data","Sending QoE data","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-custom-meta.md","Custom metadata support","Custom metadata support","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-timeout.md","Timeout conditions","Timeout conditions","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-ctrl-order.md","Controlling the order of events","Controlling the order of events","","","",""
"./help/media-collection-api/mc-api-impl/mc-api-queuing.md","Queueing events when sessions response is slow","Queueing events when sessions response is slow","","","",""
"./help/media-collection-api/mc-api-timelines/mc-api-timeline-1.md","Timeline 1 - View to end of content","","","","",""
"./help/media-collection-api/mc-api-timelines/mc-api-timeline-2.md","Timeline 2 - User abandons session","","","","",""
"./help/media-collection-api/mc-api-timelines/mc-api-timeline-3.md","Timeline 3 - Chapters","","","","",""
"./help/media-analytics-cookbook/media-analytics-cookbook.md","Media Analytics Cookbook","Top-level Cookbook page, with general MA cookbook links and SDK-specific links.","","","",""
"./help/media-analytics-cookbook/media-dimensions.md","What is Media Stream Attribution?","Learn how to link application actions to media tracking data without the need for additional processing rules and custom variables.","","","",""
"./help/metrics-and-metadata/audio-video-parameters.md","Audio and video parameters","Learn about audio and video content data and context data values.","","","",""
"./help/metrics-and-metadata/ad-parameters.md","Ad parameters","","","","",""
"./help/metrics-and-metadata/chapter-parameters.md","Chapter parameters","","","","",""
"./help/metrics-and-metadata/player-state-parameters.md","Player state parameters","This topic describes player state tracking parameters.","","","",""
"./help/metrics-and-metadata/quality-parameters.md","Quality parameters","","","","",""
"./help/metrics-and-metadata/segments.md","Segments","Segments","","","",""
"./help/metrics-and-metadata/calculated-metrics.md","Calculated metrics","Calculated metrics","","","",""
"./help/media-reports/media-reports-enable.md","Media reports enablement","Media reports enablement","","","",""
"./help/media-reports/media-default-reports/default-reports-overview.md","Default reports overview","Default reports overview","","","",""
"./help/media-reports/media-default-reports/media-reports-overview.md","Media overview","Media overview","","","",""
"./help/media-reports/media-default-reports/media-reports-detail.md","Media detail","Media detail","","","",""
"./help/media-reports/media-default-reports/media-reports-daypart.md","Media daypart","Media daypart","","","",""
"./help/media-reports/media-default-reports/media-concurrent-viewers.md","Media concurrent viewers","","","","",""
"./help/media-reports/media-workspace-panels/media-concurrent-viewers.md","Media Concurrent Viewers Reporting","For Media Analytics customers, the Media Concurrent Viewers panel in Analysis Workspace enables you to analyze concurrent viewers to understand where peak concurrency occurred or where drop-offs happened.","","","",""
"./help/media-reports/media-workspace-templates.md","Media workspace templates","","","","",""
"./help/media-reports/media-default-reports/get-concurrent-json20.md","Get Concurrent Viewers JSON report data with Analytics 2.0 APIs","","","","",""
"./help/media-collection-api/track-downloaded-content.md","Track downloaded content","","","","",""
"./help/sdk-implement/player-state-tracking/player-state-overview.md","About Player State Tracking","This topic describes the player state tracking feature including requirements and guidelines for implementing and reporting player states.","","","",""
"./help/sdk-implement/player-state-tracking/standard-and-custom-states.md","About Standard and Custom States","This topic describes the player state tracking feature including requirements and guidelines for implementing and reporting standard and custom player states.","","","",""
"./help/sdk-implement/player-state-tracking/implementation-and-reporting.md","Implementation and Reporting","This topic describes how to implement the player state tracking feature including .","","","",""
"./help/sdk-implement/player-state-tracking/player-state-examples.md","Player State Tracking Examples","This topic includes examples of the Player State Tracking feature.","","","",""
"./help/federated-analytics.md","Federated Analytics","The Federated Analytics service provides a system for sharing Adobe Analytics for Streaming Media data between two partners.","","","",""
"./help/additional-resources/doc-updates.md","What's new in Adobe Analytics for Streaming Media?","Learn what's new in Adobe Analytics for Streaming Media","","","",""
